source_id,target_id,similarity
ORG_913940433,ORG_066013384,1.0
ORG_913343111,ORG_821681189,0.9999998807907104
ORG_930932216,ORG_882865575,1.0
ORG_917849591,ORG_463677088,1.0
ORG_987760498,ORG_463165808,0.9999997615814209
ORG_942673319,ORG_113015277,1.0
ORG_914958046,ORG_205518229,1.0
ORG_923164984,ORG_464840584,1.0
ORG_914078457,ORG_376045364,1.0
ORG_925940107,ORG_300234729,1.0
ORG_948942726,ORG_421253180,0.8746002912521362
ORG_933241898,ORG_060958573,0.9999998807907104
ORG_981308073,ORG_330660845,1.0
ORG_915794568,ORG_822435395,0.9999998807907104
ORG_922402383,ORG_371566494,1.0000001192092896
ORG_922191277,ORG_350874281,0.9453697204589844
ORG_931182733,ORG_422734408,1.0
ORG_919433365,ORG_872239628,1.0
ORG_921396319,ORG_611692051,0.9999999403953552
ORG_919099541,ORG_874030884,0.9999999403953552
ORG_950263768,ORG_362317610,1.0000001192092896
ORG_915394404,ORG_262426081,0.8763744235038757
ORG_922041937,ORG_651296049,0.9999999403953552
ORG_924662434,ORG_237420526,0.9999998807907104
ORG_928095488,ORG_990822645,1.0000001192092896
ORG_927336610,ORG_393059755,1.0
ORG_961709916,ORG_223832741,1.0000001192092896
ORG_916434609,ORG_393525098,1.0
ORG_973477303,ORG_582009179,1.0
ORG_978936126,ORG_823335113,1.0
ORG_926640184,ORG_990729820,1.0000001192092896
ORG_923499737,ORG_412275163,1.0
ORG_921125610,ORG_223725235,1.0
ORG_919162215,ORG_351964901,1.0
ORG_934909777,ORG_113283268,1.0
ORG_970885576,ORG_100001184,1.0
ORG_910650196,ORG_800249854,1.0
ORG_921106574,ORG_823637480,1.0
ORG_964236301,ORG_202918958,1.0
ORG_911449354,ORG_871947923,1.0
ORG_921031363,ORG_852838664,1.0
ORG_932939326,ORG_851485804,0.9999998807907104
ORG_911983020,ORG_208754447,0.8767952919006348
ORG_945002097,ORG_923245153,1.0
ORG_916610348,ORG_333728541,0.8861017227172852
ORG_918575461,ORG_413765078,0.8768724799156189
ORG_919864409,ORG_320144731,0.9999999403953552
ORG_922918467,ORG_393754188,0.8800179362297058
ORG_978029671,ORG_060646844,0.8812043070793152
ORG_912029710,ORG_394634614,1.0
ORG_997198422,ORG_331667859,0.9999999403953552
ORG_926306867,ORG_311237943,1.0
ORG_925239928,ORG_461371507,1.0
ORG_913787699,ORG_314380038,0.9247115254402161
ORG_924527933,ORG_270821447,0.9163748025894165
ORG_922130802,ORG_471789351,1.0
ORG_927128488,ORG_043294008,1.0000001192092896
ORG_915103394,ORG_814192775,1.0
ORG_924439087,ORG_921016680,0.9999998807907104
ORG_915752984,ORG_413090181,0.9119777679443359
ORG_914126498,ORG_810960214,1.000000238418579
ORG_921993537,ORG_884101480,0.9999998807907104
ORG_981306897,ORG_237248316,0.9999999403953552
ORG_912536098,ORG_202048638,1.0000001192092896
ORG_926371579,ORG_223460471,0.9227609038352966
ORG_919653147,ORG_311596262,1.0
ORG_986264099,ORG_223654080,0.9999998807907104
ORG_920566785,ORG_821615621,0.9999999403953552
ORG_916803484,ORG_933213165,1.0
ORG_917843400,ORG_832470933,1.0
ORG_910364688,ORG_222682421,0.9999998807907104
ORG_922863613,ORG_464091927,0.8928782939910889
ORG_910681990,ORG_133039588,1.0
ORG_916218859,ORG_990735985,1.0
ORG_925661760,ORG_334178051,1.0
ORG_919836125,ORG_883416769,1.0
