org_id,name,x,y,node_kind,degree
ORG_913940433,Protective Association of Firemens,-0.2318899236074327,0.22784970604529764,imitation,1
ORG_066013384,Firemens Protective Association,-0.20785036101395465,0.20468002780663924,verified,1
ORG_913343111,Leaders Institute of Young Inc,0.7859775724535885,0.3759781804722183,imitation,1
ORG_821681189,Young Leaders Institute Inc,0.8119667323305015,0.3552962256885411,verified,1
ORG_930932216,Plymouth Neighborhood Foster Closet Inc,-0.8028179904785516,0.5772089766867784,imitation,1
ORG_882865575,Plymouth Community Foster Closet Inc,-0.8275179090708498,0.5549664719652486,verified,1
ORG_917849591,Square Lake Society,0.47693478094097497,-0.7328377913113442,imitation,1
ORG_463677088,Square Lake Association,0.44719544720146903,-0.7463708403957529,verified,1
ORG_987760498,Fountain Of Life Transitional Supportive Shelter,-0.9380745474864258,-0.2511878327237502,imitation,1
ORG_463165808,Fountain Of Life Transitional Supportive Housing,-0.9557917207346459,-0.2789803461939869,verified,1
ORG_942673319,Therapy And Education Center Inc,-0.20904579109651672,-0.9476433138690493,imitation,1
ORG_113015277,Therapy And Learning Center Inc,-0.23381149098591325,-0.9692121975985398,verified,1
ORG_914958046,Iowa Great Lakes Society,-0.6760314635106623,0.4070578302831037,imitation,1
ORG_205518229,Iowa Great Lakes Association,-0.6546001178239468,0.4321637638815607,verified,1
ORG_923164984,Saint James Neighborhood Alliance,0.07970485063461649,-0.7830010715611915,imitation,1
ORG_464840584,Saint James Community Alliance,0.11218669889276,-0.7774744992742378,verified,1
ORG_914078457,American Society Of University Women,-0.5583732692497815,-0.8109136177486116,imitation,1
ORG_376045364,American Association Of University Women,-0.5912624003932319,-0.8048868241172344,verified,1
ORG_925940107,Isabella County Fire Chiefs Society,-0.4459759573016794,0.7487890234749123,imitation,1
ORG_300234729,Isabella County Fire Chiefs Association,-0.41818138620605494,0.7661983027681893,verified,1
ORG_948942726,Greater Village Foundation of The Presbyterian,-0.6997410882603136,-0.37450660665922425,imitation,1
ORG_421253180,The Presbyterian Village Foundation,-0.7253400947373941,-0.3504957147185979,verified,1
ORG_933241898,Simsbury Land Foundation Inc,0.7131403653679581,-0.702414977730472,imitation,1
ORG_060958573,Simsbury Land Trust Inc,0.6850645957222165,-0.7203966905556916,verified,1
ORG_981308073,Board For Educational Travel,0.10276947217560224,0.8281903218315378,imitation,1
ORG_330660845,Council For Educational Travel,0.0931465772852586,0.8602549328571102,verified,1
ORG_915794568,Memorial Scholarship Fund of Cody Allen Trim Inc,-0.11200052383109323,0.9904956467874494,imitation,1
ORG_822435395,Cody Allen Trim Memorial Scholarship Fund Inc,-0.14098763343145626,0.9744790395541909,verified,1
ORG_922402383,Lake Association of Mastodon Buck,0.8665608730507807,0.1269432022226718,imitation,1
ORG_371566494,Mastodon Buck Lake Association,0.8890350682362337,0.10244453699027975,verified,1
ORG_922191277,American Association Of Cass County of Young Mens Christian Inc,-0.2655055927977216,-0.5389539941178275,imitation,1
ORG_350874281,Young Mens Christian Association Of Cass County Inc,-0.23527037233967144,-0.5238168194357761,verified,1
ORG_931182733,Fresh Start Youth Institute,0.401791360768642,0.30828268819669563,imitation,1
ORG_422734408,Fresh Start Youth Academy,0.4125728374164775,0.33959925025979176,verified,1
ORG_919433365,Christian Womens Intertwining Partnership,0.21210167729236606,0.9770416281642947,imitation,1
ORG_872239628,Christian Womens Intertwining Network,0.20124866211977263,0.9461026205334138,verified,1
ORG_921396319,Chicago Recovering Communities Alliance,0.5601801753015873,-0.45649918333333606,imitation,1
ORG_611692051,Chicago Recovering Communities Coalition,0.5373211259660261,-0.4807235274218787,verified,1
ORG_919099541,Just A Dash Trust,-0.18295623145548395,0.10820064842754759,imitation,1
ORG_874030884,Just A Dash Foundation,-0.15418030415756218,0.0918706653743487,verified,1
ORG_950263768,Society For Christian Instruction,0.32703483958706464,0.8286235615958111,imitation,1
